,0,1,2
97,"'CIUDAD KENNEDY CENTRAL, 004511 (98)'",4.6211305094339625,-74.15322973584905
98,"'SIBERIA RURAL, 201502 (99)'",4.63137367647059,-74.05695782352939
99,"'CAPELLANIA, 006302 (100)'",4.660155733333332,-74.12240146666666
100,"'ESCUELA DE CABALLERIA II, 008419 (101)'",4.680559599999999,-74.03754213333333
101,"'CENTRO USME URBANO, 002599 (102)'",4.474270055776892,-74.12413923107569
102,"'CURUBITAL, 102911 (103)'",4.342992894578313,-74.13823565210843
103,"'ESTACION CENTRAL, 006204 (104)'",4.618928111111111,-74.09149825925925
104,"'LAS VIOLETAS RURAL, 102118 (105)'",4.493228706403941,-74.07553984827587
105,"'TIMIZA, 004512 (106)'",4.615972115384615,-74.1516855576923
106,"'LA AURORA, 007407 (107)'",4.6669074,-74.067621
107,"'PUEBLO VIEJO, 005673 (108)'",4.709264500000001,-74.154357
108,"'GUACAMAYAS IV, 001353 (109)'",4.556964156862745,-74.10088866666666
109,"'VOTO NACIONAL, 004103 (110)'",4.603025384615385,-74.08411146153846
110,"'LA RIVIERA, 005670 (111)'",4.714456463829787,-74.13250802553189
111,"'PARAMO IV, 208101 (112)'",4.672466339622641,-74.01913264150944
112,"'COSTA AZUL, 009208 (113)'",4.738994129032258,-74.09700193548389
113,"'EL VERGEL ORIENTAL, 006529 (114)'",4.647962340909091,-74.14307629545455
114,"'PROVIVIENDA ORIENTAL, 004503 (115)'",4.614616914893617,-74.13084406382978
115,"'LA UNION, 102115 (116)'",4.32666621430607,-74.17350881989171
116,"'TEJAR, 004408 (117)'",4.606473181818182,-74.1294060909091
117,"'PASQUILLA, 104104 (118)'",4.444555160784314,-74.16380822875817
118,"'ORTEZAL, 006208 (119)'",4.632656970149253,-74.09750205970148
119,"'SAN IGNACIO, 005607 (120)'",4.678470069767441,-74.11402658139535
120,"'NUEVA GRANADA BOSA, 004527 (121)'",4.599284164179105,-74.19251900000002
121,"'PARIS, 005619 (122)'",4.702919289473683,-74.10536644736845
122,"'PARQUE NACIONAL ORIENTAL, 101405 (123)'",4.606801729554964,-74.05201422822365
123,"'CIUDAD BACHUE I ETAPA, 005631 (124)'",4.713985136363638,-74.1031355909091
124,"'COLON, 004308 (125)'",4.620728043478261,-74.1158987826087
125,"'VILLA EMMA, 205316 (126)'",4.621636833333334,-74.2048253
